time	energy	cost
15800	0.233333	0
15814	0.266667	0
15909	0.233333	0
15957	0.2	0
16032	0.166667	0
16054	0.2	0
16144	0.233333	0
16168	0.266667	0
16216	0.233333	0
16258	0.2	0
16357	0.166667	0
16365	0.2	0
16419	0.166667	0
16420	0.133333	0
16443	0.166667	0
16509	0.2	0
16648	0.2	0
16661	0.233333	0
16706	0.266667	0
16711	0.3	0
16773	0.333333	0
16774	0.3	0
16818	0.333333	0
16833	0.3	0
16893	0.333333	0
16916	0.366667	0
16950	0.4	0
16961	0.433333	0
17010	0.4	0
17052	0.366667	0
17135	0.333333	0
17218	0.366667	0
17254	0.4	0
17256	0.433333	0
17263	0.4	0
17289	0.366667	0
17325	0.333333	0
17354	0.3	0
17367	0.266667	0
17396	0.3	0
17469	0.333333	0
17496	0.366667	0
17505	0.333333	0
17517	0.366667	0
17533	0.333333	0
17544	0.3	0
17552	0.266667	0
17577	0.233333	0
17591	0.266667	0
17692	0.3	0
17748	0.266667	0
17823	0.3	0
17876	0.266667	0
17918	0.233333	0
18009	0.2	0
18120	0.166667	0
18144	0.133333	0
18166	0.1	0
18189	0.0666667	0
18294	0.0333333	0
18425	9.71445e-17	0
18551	0.0333333	0
18592	0.0666667	0
18601	0.1	0
18728	0.133333	0
18745	0.166667	0
18982	0.2	0
19086	0.233333	0
19119	0.266667	0
19210	0.233333	0
19216	0.2	0
19230	0.233333	0
19269	0.2	0
19340	0.166667	0
19355	0.133333	0
19473	0.166667	0
19477	0.2	0
19638	0.166667	0
19663	0.2	0
19827	0.166667	0
19829	0.133333	0
19880	0.1	0
19962	0.133333	0
20008	0.166667	0
20101	0.133333	0
20134	0.166667	0
20267	0.2	0
20270	0.233333	0
20282	0.2	0
20292	0.233333	0
20323	0.2	0
20593	0.233333	0
20602	0.2	0
20618	0.166667	0
20729	0.133333	0
20753	0.166667	0
20766	0.2	0
20833	0.166667	0
20863	0.133333	0
20926	0.1	0
20929	0.133333	0
21244	0.1	0
21300	0.0666667	0
21413	0.0333333	0
21645	9.71445e-17	0
21655	0.0333333	0
21793	0.0666667	0
21818	0.1	0
21854	0.133333	0
21938	0.166667	0
22009	0.133333	0
22254	0.1	0
22295	0.133333	0
22317	0.166667	0
22329	0.2	0
22427	0.166667	0
22464	0.133333	0
22553	0.1	0
22661	0.133333	0
22851	0.166667	0
22884	0.133333	0
22890	0.166667	0
22906	0.2	0
22918	0.166667	0
22927	0.133333	0
22946	0.166667	0
23122	0.2	0
23157	0.233333	0
23176	0.2	0
23208	0.233333	0
23279	0.266667	0
23535	0.233333	0
23555	0.2	0
23568	0.233333	0
23586	0.2	0
23608	0.166667	0
23684	0.133333	0
23856	0.166667	0
23881	0.133333	0
23885	0.1	0
24011	0.0666667	0
24042	0.1	0
24131	0.0666667	0
24396	0.0333333	0
24648	9.71445e-17	0
24963	0.0333333	0
25108	0.0666667	0
25133	0.1	0
25141	0.133333	0
25456	0.166667	0
25511	0.133333	0
25539	0.166667	0
25559	0.2	0
25580	0.233333	0
25666	0.2	0
25668	0.233333	0
25720	0.266667	0
25748	0.233333	0
25763	0.2	0
26000	0.233333	0
26031	0.2	0
26114	0.166667	0
26163	0.133333	0
26250	0.1	0
26265	0.133333	0
26272	0.166667	0
26289	0.133333	0
26361	0.1	0
26545	0.166667	0
26636	0.2	0
26750	0.233333	0
26767	0.2	0
26814	0.233333	0
26865	0.2	0
26867	0.166667	0
26878	0.2	0
26953	0.233333	0
26969	0.2	0
26985	0.233333	0
27142	0.266667	0
27155	0.266667	0
27284	0.3	0
27320	0.266667	0
27325	0.3	0
27372	0.266667	0
27447	0.233333	0
27483	0.2	0
27583	0.166667	0
27658	0.133333	0
27751	0.1	0
27772	0.0666667	0
27785	0.1	0
27883	0.133333	0
27915	0.166667	0
27950	0.133333	0
27952	0.1	0
27992	0.133333	0
28141	0.166667	0
28409	0.133333	0
28424	0.1	0
28519	0.133333	0
28526	0.1	0
28531	0.0666667	0
28546	0.1	0
28561	0.133333	0
28692	0.1	0
28803	0.133333	0
28994	0.166667	0
29000	0.133333	0
29150	0.1	0
29174	0.0666667	0
29418	0.0333333	0
29598	9.71445e-17	0
30128	0.0333333	0
30365	0.0666667	0
30572	0.0333333	0
30776	0.0666667	0
30914	0.1	0
30935	0.133333	0
31019	0.1	0
31040	0.133333	0
31104	0.166667	0
31359	0.133333	0
31433	0.166667	0
31552	0.133333	0
31582	0.1	0
31657	0.0666667	0
31744	0.1	0
31916	0.133333	0
31948	0.166667	0
31964	0.133333	0
32050	0.166667	0
32081	0.133333	0
32092	0.166667	0
32340	0.133333	0
32467	0.166667	0
32515	0.133333	0
32576	0.1	0
32598	0.133333	0
32717	0.1	0
32762	0.0666667	0
32904	0.1	0
32905	0.133333	0
33072	0.1	0
33273	0.133333	0
33324	0.1	0
33466	0.0666667	0
33467	0.0333333	0
33479	0.0666667	0
33484	0.1	0
33535	0.133333	0
33606	0.166667	0
33888	0.2	0
33936	0.166667	0
34022	0.2	0
34099	0.166667	0
34121	0.133333	0
34141	0.166667	0
34208	0.133333	0
34214	0.1	0
34489	0.0666667	0
34621	0.0333333	0
34688	0.0666667	0
34823	0.0333333	0
35064	0.0666667	0
35143	0.1	0
35148	0.133333	0
35268	0.1	0
35360	0.133333	0
35686	0.1	0
35688	0.133333	0
35734	0.166667	0
35754	0.133333	0
35867	0.166667	0
35907	0.133333	0
35956	0.1	0
35994	0.133333	0
35999	0.166667	0
36066	0.2	0
36184	0.233333	0
36255	0.266667	0
36275	0.233333	0
36302	0.266667	0
36333	0.233333	0
36470	0.2	0
36539	0.233333	0
36621	0.2	0
36663	0.166667	0
36741	0.2	0
36769	0.166667	0
36800	0.133333	0
36825	0.166667	0
36856	0.133333	0
36910	0.1	0
37017	0.133333	0
37094	0.166667	0
37120	0.133333	0
37123	0.166667	0
37403	0.133333	0
37418	0.166667	0
37426	0.133333	0
37497	0.166667	0
37498	0.2	0
37543	0.233333	0
37661	0.2	0
37662	0.233333	0
37735	0.2	0
37741	0.233333	0
37751	0.2	0
37962	0.166667	0
38110	0.2	0
38122	0.166667	0
38130	0.133333	0
38245	0.1	0
38324	0.0666667	0
38337	0.1	0
38383	0.0666667	0
38469	0.0333333	0
38608	0.0666667	0
38625	0.1	0
38756	0.0666667	0
38883	0.1	0
38981	0.133333	0
39114	0.166667	0
39210	0.133333	0
39267	0.1	0
39329	0.133333	0
39490	0.1	0
39592	0.0666667	0
39699	0.1	0
39713	0.0666667	0
39814	0.1	0
39931	0.133333	0
39940	0.1	0
40184	0.133333	0
40376	0.1	0
40389	0.0666667	0
40445	0.1	0
40470	0.0666667	0
40611	0.1	0
40814	0.0666667	0
41091	0.0333333	0
41177	9.71445e-17	0
41551	0.0333333	0
41840	0.0666667	0
42159	0.0333333	0
42261	0.0666667	0
42382	0.1	0
42471	0.0666667	0
42644	0.1	0
42919	0.0666667	0
42937	0.1	0
42958	0.0666667	0
43001	0.1	0
43253	0.0666667	0
43400	0.1	0
43523	0.0666667	0
43550	0.1	0
43604	0.133333	0
43632	0.1	0
43948	0.133333	0
44008	0.166667	0
44024	0.133333	0
44049	0.166667	0
44148	0.133333	0
44151	0.1	0
44312	0.0666667	0
44404	0.1	0
44408	0.133333	0
44412	0.166667	0
44458	0.133333	0
44787	0.1	0
45008	0.0666667	0
45031	0.0333333	0
45041	9.71445e-17	0
45138	0.0333333	0
45475	9.71445e-17	0
45670	0.0333333	0
46102	0.0666667	0
46153	0.1	0
46282	0.0666667	0
46425	0.1	0
46718	0.0666667	0
46841	0.0666667	0
46901	0.1	0
46977	0.133333	0
47038	0.1	0
47140	0.133333	0
47148	0.166667	0
47194	0.2	0
47217	0.233333	0
47245	0.2	0
47278	0.233333	0
47403	0.266667	0
47449	0.233333	0
